Price,Mileage,Year,Transmission,Gearbox,Horsepower,Fuel Type,Location,Brand,Model,Exterior Color,Interior Color,Upholstery,Seats,Doors,Energy,Gearbox Type,Fiscal Power,Transmission Type,Engine Displacement
47 531DT,180 000km,04.2014,Traction,Manuelle,7cv,Essence,Le Kef,Ford,Focus,Noir,Gris,Tissu,5,5,Essence,Manuelle,7cv,Traction,1595cm³
59 891DT,30 000km,09.2021,Traction,Manuelle,5cv,Essence,Tunis,KIA,Picanto,Noir,Noir,Tissu,5,5,Essence,Manuelle,5cv,Traction,1200cm³
85 882DT,201 000km,12.2014,Traction,Automatique,7cv,Essence,Ben Arous,BMW,Série 3,Noir,Beige,Similicuir,5,4,Essence,Automatique,7cv,Traction,1598cm³
93 782DT,55 000km,04.2022,Traction,Automatique,8cv,Essence,Ariana,Ford,Kuga,Bleu,Noir,Tissu,5,5,Essence,Automatique,8cv,Traction,cm³
144 371DT,19 000km,07.2021,Traction,Manuelle,7cv,Diesel,Tunis,KIA,Sportage,Gris Shark,Noir,Cuir intégral,5,5,Diesel,Manuelle,7cv,Traction,1599cm³
91 383DT,157 000km,06.2013,Intégrale,Automatique,10cv,Diesel,Ariana,Audi,Q5,Noir,Noir,Cuir intégral,5,5,Diesel,Automatique,10cv,Intégrale,2000cm³
153 925DT,120 000km,07.2011,Traction,Automatique,26cv,Essence,Ariana,Audi,S5,Blanc,Rouge,Cuir intégral,5,3,Essence,Automatique,26cv,Traction,4000cm³
60 746DT,149 000km,03.2021,Traction,Manuelle,5cv,Essence,Ben Arous,Renault,Clio,Gris anthracite,Noir,Tissu,5,4,Essence,Manuelle,5cv,Traction,1198cm³
43 200DT,182 000km,10.2008,Traction,Manuelle,5cv,Essence,Nabeul,Ford,Fusion,Gris argent,Noir,Tissu,5,5,Essence,Manuelle,5cv,Traction,899cm³
48 862DT,50 000km,05.2018,Traction,Manuelle,8cv,Essence,Ariana,Lada,Niva,Noir,Noir,Tissu,4,3,Essence,Manuelle,8cv,Traction,1000cm³
61 223DT,179 000km,05.2018,Traction,Automatique,7cv,Essence,Kairouan,Ford,Focus,Gris anthracite,Noir,Tissu,5,5,Essence,Automatique,7cv,Traction,1000cm³
65 521DT,240 000km,05.2013,Traction,Manuelle,6cv,Essence,Ben Arous,Mercedes-Benz,Classe A,Blanc,Noir,Tissu,5,5,Essence,Manuelle,6cv,Traction,1600cm³
155 794DT,22 330km,05.2022,Traction,Automatique,7cv,Hybride essence,Ariana,Nissan,Qashqai,Blanc,Noir,Cuir intégral,5,4,Hybride essence,Automatique,7cv,Traction,1300cm³
186 294DT,140 000km,01.2021,Traction,Automatique,10cv,Essence,Ben Arous,BMW,Série 5,Blanc,Autre,Cuir intégral,5,4,Essence,Automatique,10cv,Traction,2000cm³
73 668DT,160 000km,03.2017,Traction,Automatique,9cv,Essence,Ben Arous,MG,GS,Beige,N/A,N/A,N/A,N/A,Essence,Automatique,9cv,Traction,N/A
289 157DT,60 000km,07.2022,Traction,Automatique,11cv,Essence,Ariana,BMW,X3,Noir,Beige,Cuir intégral,5,5,Essence,Automatique,11cv,Traction,1000cm³
81 810DT,15 000km,06.2022,Traction,Automatique,6cv,Essence,Ben Arous,Chery,Tiggo 3X,Gris argent,Noir,Similicuir,5,5,Essence,Automatique,6cv,Traction,998cm³
72 492DT,144 000km,11.2018,Traction,Automatique,7cv,Essence,Tunis,Ford,Ecosport,Bleu,Noir,Cuir partiel,5,04,Essence,Automatique,7cv,Traction,1000cm³
109 701DT,72 246km,12.2020,Traction,Manuelle,7cv,Diesel,Sfax,Citroën,Berlingo,Gris argent,Noir,Tissu,5,4,Diesel,Manuelle,7cv,Traction,1999cm³
