Car Name,Price,Mileage,Year,Transmission,Gearbox,Horsepower,Fuel Type,Location,Description
Volkswagen Golf 7 Highline,58 000 DT,180 000 km,2017,Propulsion,Manuelle,5 cv,Essence,Tunis,"Compacte, 5 cv, transmission Propulsion, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Autoradio CD, Autoradio CD/Mp3, Apple Carplay, Android Auto, Bluetooth, Boîte à gants réfrigérée, Chargeur CD, Connectivité Aux, usb, iPod, Navigation, Palettes au volant, Sièges sport, Sièges chauffants, Sièges massants, Sièges ventilés, Sièges réglables en hauteur, Sièges électriques, Vitres teintées, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur, Volant chauffant, Instrumentation numérique"
BMW Série 5 Confort Luxury,87 000 DT,165 000 km,2015,Propulsion,Automatique,10 cv,Essence,Ariana,Excellente état
KIA Sportage,79 000 DT,159 000 km,2019,Traction,Automatique,8 cv,Essence,Tunis,"SUV/4x4, 8 cv, transmission Traction, Accoudoir avant, Accoudoir arrière, Autoradio, Autoradio CD, Autoradio CD/Mp3, Bluetooth, Chargeur CD, Connectivité Aux, usb, iPod, Sièges réglables en hauteur, Sièges électriques, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur"
KIA Rio 5p SX Plus,53 000 DT,143 km,2022,Traction,Manuelle,5 cv,Essence,Sfax,Première main
KIA XCeed SX,Sous leasing                    136 100 DT,40 000 km,2023,Traction,Automatique,9 cv,Essence,Gabès,"SUV/4x4, 9 cv, transmission Traction, Accoudoir avant, Accoudoir arrière, Autoradio, Autoradio CD, Autoradio CD/Mp3, Apple Carplay, Android Auto, Bluetooth, Boîte à gants réfrigérée, Connectivité Aux, usb, iPod, Navigation, Palettes au volant, Sièges sport, Sièges électriques, Vitres teintées, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur, Instrumentation numérique"
Citroën C2,22 000 DT,175 000 km,2008,Intégrale,Manuelle,5 cv,Essence,Ariana,"Coupé, 5 cv, transmission Intégrale, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Autoradio CD"
Renault Megane Dynamique,68 900 DT,41 594 km,2020,Traction,Manuelle,7 cv,Essence,Nabeul,"Megane 4 modelé 2020 tout option
1er main
cette véhicule  est en bonne occasion
5 mode de conduite
sport
confort
économique
personnaliser
naturel"
Nissan Juke Tekna Perso,82 000 DT,58 000 km,2021,Traction,Automatique,6 cv,Essence,Tunis,"2021 Nissan Juke BVA
 TEL : 20.888.716 / 22.056.427
 01/11/2021 TU 226
 1.0L  Essence 6 CV
 58 000 KM ( certifié )
 Échange Possible
 Disponible à Notre Showroom SYPHAX AUTO LAC1"
Opel Astra Edition Plus,69 000 DT,20 000 km,2022,Traction,Automatique,5 cv,Essence,Tunis,"Compacte, 5 cv, transmission Traction, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Autoradio CD, Apple Carplay, Android Auto, Bluetooth, Connectivité Aux, usb, iPod, Navigation, Palettes au volant, Sièges sport, Sièges chauffants, Sièges réglables en hauteur, Sièges électriques, Vitres teintées, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur, Volant chauffant, Instrumentation numérique"
Cupra Formentor Style,129 000 DT,56 000 km,2021,Intégrale,Automatique,8 cv,Hybride,Ariana,"SUV/4x4, 8 cv, transmission Intégrale, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Autoradio CD, Autoradio CD/Mp3, Apple Carplay, Android Auto, Bluetooth, Boîte à gants réfrigérée, Chargeur CD, Navigation, Palettes au volant, Sièges chauffants, Sièges ventilés, Sièges réglables en hauteur, Volant multi-fonctions"
